Video_Name,Clip_Score
j1Pb8YU8wQo,0.6521263
89xTTczbv0E,0.6726467
FG1hCPijyj4,0.55735356
ATvKJ_HftNs,0.60314286
2n7xgho1gIo,0.6604908
nTq1Sd9N7E8,0.6297932
NsRj-9Y4fZ8,0.6378188
OhM-Aeyqp6c,0.6812747
HTdrfsG2ikA,0.5937518
FFJb0M-cur0,0.64087605
khyuH_QfoWU,0.63913107
Dy8ogOaKk4Y,0.5981946
psWarhwc4eY,0.66200393
TlF8M_U7khI,0.59197974
npGwq_ZxVKk,0.6566573
agij_IxGjCI,0.61009693
kRpPu6OoP00,0.69109017
VpK8fpqPJT0,0.61269516
4jpXt-Y-Nm4,0.5850093
BLoTRK7sPk8,0.6548564
gYo-icA2848,0.6122065
vyit-1zKsZ4,0.66515756
1gBwyk4MGG8,0.6256251
QLzJDFevQHM,0.5687516
XYzJBJi_5S0,0.5749539
-A8qdoRJbPI,0.63066244
6i2sJwxw5Uc,0.60742164
UNXDA-h6pP8,0.57158357
Pt7s-mV8Ui0,0.5922119
noo8-_LYIpA,0.6004876
vbl7QeqfE-Q,0.6399247
eCSOQP9QTXI,0.6376204
UzivaxYf1iM,0.63590986
Ny_X4ZSbuKA,0.597209
5xeCd1lQuXs,0.64407694
XZP93IEudag,0.6060208
4DVah3bZlV8,0.59373635
o4ah2I8YjkQ,0.63419837
-AndA2beJVc,0.698694
ykXKit5hvJ8,0.65806556
G_SvwkqZJAY,0.6193759
Le122vas9aM,0.60067654
VMZtG0O9sbU,0.6231174
VJyTDiFJxhI,0.5694448
rslUfl6OsV4,0.64772546
eAIKvD_gLJo,0.5858679
F1ma0rjK1hc,0.57485396
wZORPVmXN7k,0.6391547
4xgPBb1xHYI,0.64343226
